x,y,count,red,blue
1,0.01,1741,1113,628
1,0.01,4905,2396,2509
1,0.01,5510,2152,3358
1,0.01,348,227,121
1,0.01,7532,3225,4307
1,0.01,9088,6006,3082
1,0.01,4253,1334,2919
1,0.01,3362,1670,1692
1,0.01,2056,573,1483
1,0.01,10273,5642,4631
1,0.01,8764,3198,5566
1,0.01,5899,3590,2309
1,0.01,6831,5560,1271
1,0.01,5789,2670,3119
1,0.01,8314,7059,1255
1,0.01,10658,2545,8113
1,0.01,4195,2561,1634
1,0.01,6856,3452,3404
1,0.01,6498,2527,3971
1,0.01,9282,5535,3747
1,0.01,6145,3059,3086
1,0.01,8916,4863,4053
1,0.01,8825,245,8580
1,0.01,4048,1296,2752
1,0.01,8861,2223,6638
1,0.01,13454,7289,6165
1,0.01,8854,4475,4379
1,0.01,6910,4132,2778
1,0.01,4989,1831,3158
1,0.01,7228,2937,4291
1,0.01,5711,897,4814
1,0.01,9424,4744,4680
1,0.01,16240,7055,9185
1,0.01,6103,3342,2761
1,0.01,7202,4985,2217
1,0.01,5414,2949,2465
1,0.01,487,445,42
1,0.01,9280,7190,2090
1,0.01,8700,4285,4415
1,0.01,4805,2179,2626
1,0.01,1905,417,1488
1,0.01,7846,7169,677
1,0.01,10956,7638,3318
1,0.01,1262,434,828
1,0.01,3921,1599,2322
1,0.01,5907,825,5082
1,0.01,6674,5665,1009
1,0.01,9397,3776,5621
1,0.01,3369,1061,2308
1,0.01,12800,3321,9479
1,0.01,5629,4328,1301
1,0.01,4294,2378,1916
1,0.01,8177,5280,2897
1,0.01,3243,2585,658
1,0.01,5282,3797,1485
1,0.01,4180,1556,2624
1,0.01,7529,1764,5765
1,0.01,2251,809,1442
1,0.01,3466,560,2906
1,0.01,7650,1837,5813
1,0.01,2571,869,1702
1,0.01,6059,3129,2930
1,0.01,2650,688,1962
1,0.01,6752,2839,3913
1,0.01,3043,837,2206
1,0.01,7590,4492,3098
1,0.01,5978,3070,2908
1,0.01,2248,1825,423
1,0.01,8272,5643,2629
1,0.01,2932,2364,568
1,0.01,6306,2351,3955
1,0.01,3499,2032,1467
1,0.01,8392,3965,4427
1,0.01,9190,7455,1735
1,0.01,4905,3014,1891
1,0.01,7076,3684,3392
1,0.01,5044,4307,737
1,0.01,13733,3085,10648
1,0.01,664,383,281
1,0.01,4983,4451,532
1,0.01,723,289,434
1,0.01,12029,7130,4899
1,0.01,1582,1473,109
1,0.01,6597,2544,4053
1,0.01,2120,455,1665
1,0.01,9042,4674,4368
1,0.01,2020,996,1024
1,0.01,5735,608,5127
1,0.01,11019,4938,6081
1,0.01,3634,1904,1730
1,0.01,3525,2970,555
1,0.01,2710,838,1872
1,0.01,4497,2107,2390
1,0.01,5809,3803,2006
1,0.01,4781,3545,1236
1,0.01,10045,5621,4424
1,0.01,4682,1479,3203
1,0.01,8190,3430,4760
1,0.01,4417,1302,3115
1,0.01,5727,1644,4083
1,0.01,2387,945,1442
1,0.01,4152,1560,2592
1,0.01,7821,2668,5153
1,0.01,2911,2047,864
1,0.01,19733,16938,2795
1,0.01,8800,7243,1557
1,0.01,10915,3432,7483
1,0.01,7450,3009,4441
1,0.01,10601,5104,5497
1,0.01,14419,7879,6540
1,0.01,4350,818,3532
1,0.01,11186,6428,4758
1,0.01,8521,5035,3486
1,0.01,3206,2336,870
1,0.01,9049,2508,6541
1,0.01,6169,2852,3317
1,0.01,7381,2693,4688
1,0.01,2604,1201,1403
1,0.01,7321,1945,5376
1,0.01,6517,2923,3594
1,0.01,10509,4783,5726
1,0.01,3847,1034,2813
1,0.01,6402,3112,3290
1,0.01,7582,3061,4521
1,0.01,2527,1421,1106
1,0.01,3377,2643,734
1,0.01,9590,6143,3447
1,0.01,7924,5238,2686
1,0.01,4113,1677,2436
1,0.01,8290,4912,3378
1,0.01,10451,3836,6615
1,0.01,5887,3564,2323
1,0.01,5886,2657,3229
1,0.01,2768,779,1989
1,0.01,4857,3318,1539
1,0.01,2374,1062,1312
1,0.01,10277,4337,5940
1,0.01,2613,1404,1209
1,0.01,6413,3124,3289
1,0.01,4874,2789,2085
1,0.01,6203,3574,2629
1,0.01,4775,2828,1947
1,0.01,1575,1098,477
1,0.01,3379,1901,1478
1,0.01,8456,5285,3171
1,0.01,9625,6382,3243
1,0.01,3582,840,2742
1,0.01,5386,3602,1784
1,0.01,5269,3377,1892
1,0.01,3930,2852,1078
1,0.01,5337,3555,1782
1,0.01,3686,1052,2634
1,0.01,3062,1030,2032
1,0.01,7131,2677,4454
1,0.01,6977,5119,1858
1,0.01,9527,6156,3371
1,0.01,5199,2408,2791
1,0.01,6902,4672,2230
1,0.01,2169,1880,289
1,0.01,1304,783,521
1,0.01,3710,1970,1740
1,0.01,3327,1244,2083
1,0.01,4784,1690,3094
1,0.01,8651,3839,4812
1,0.01,2501,1796,705
1,0.01,5110,1578,3532
1,0.01,3844,507,3337
1,0.01,5612,1935,3677
1,0.01,4145,999,3146
1,0.01,10729,5474,5255
1,0.01,9501,4050,5451
1,0.01,4202,1797,2405
1,0.01,9347,3671,5676
1,0.01,8028,6343,1685
1,0.01,6440,4362,2078
1,0.01,11402,4991,6411
1,0.01,6023,566,5457
1,0.01,8777,4576,4201
1,0.01,9773,2317,7456
1,0.01,8525,7096,1429
1,0.01,4071,1406,2665
1,0.01,10293,6231,4062
1,0.01,9404,7632,1772
1,0.01,8813,3211,5602
1,0.01,6008,1671,4337
1,0.01,4503,2106,2397
1,0.01,6026,3387,2639
1,0.01,2244,1613,631
1,0.01,4915,2309,2606
1,0.01,4567,1466,3101
1,0.01,5596,3756,1840
1,0.01,3338,1490,1848
1,0.01,7479,1346,6133
1,0.01,4487,708,3779
1,0.01,6395,1851,4544
1,0.01,8853,4309,4544
1,0.01,2588,1540,1048
1,0.01,7711,5141,2570
1,0.01,8782,3929,4853
1,0.01,5975,3516,2459
1,0.01,7547,1964,5583
1,0.01,12610,4316,8294
1,0.01,5724,3685,2039
1,0.01,3219,2215,1004
1,0.01,7860,3292,4568
1,0.01,7154,1838,5316
1,0.01,374,92,282
1,0.01,11385,3683,7702
1,0.01,7306,4133,3173
1,0.01,11029,8318,2711
1,0.01,7076,1856,5220
1,0.01,8926,3837,5089
1,0.01,8358,3321,5037
1,0.01,5754,3853,1901
1,0.01,8470,2210,6260
1,0.01,9660,2022,7638
1,0.01,5063,2454,2609
1,0.01,10005,5379,4626
1,0.01,8954,5599,3355
1,0.01,9365,3688,5677
1,0.01,6235,4038,2197
1,0.01,9194,6384,2810
1,0.01,6694,2003,4691
1,0.01,9721,8248,1473
1,0.01,8813,6163,2650
1,0.01,4190,1608,2582
1,0.01,5314,3393,1921
1,0.01,6250,3855,2395
1,0.01,6983,3504,3479
1,0.01,5358,3204,2154
1,0.01,5209,2259,2950
1,0.01,11747,4171,7576
1,0.01,2553,226,2327
1,0.01,4771,2730,2041
1,0.01,8196,552,7644
1,0.01,4643,3318,1325
1,0.01,3524,1978,1546
1,0.01,11108,4287,6821
1,0.01,24032,15114,8918
1,0.01,3481,538,2943
1,0.01,7613,5163,2450
1,0.01,2964,2922,42
1,0.01,5747,1043,4704
1,0.01,2895,1224,1671
1,0.01,9697,4842,4855
1,0.01,17188,6675,10513
1,0.01,6829,3765,3064
1,0.01,5887,2822,3065
1,0.01,8702,6746,1956
1,0.01,5720,2571,3149
1,0.01,4119,2661,1458
1,0.01,5607,4716,891
1,0.01,7720,4091,3629
1,0.01,6641,2933,3708
1,0.01,6985,1846,5139
1,0.01,4246,162,4084
1,0.01,2985,630,2355
1,0.01,4193,2809,1384
1,0.01,3127,1246,1881
1,0.01,5929,2178,3751
1,0.01,5110,3387,1723
1,0.01,5194,3317,1877
1,0.01,9580,1458,8122
1,0.01,5292,1412,3880
1,0.01,8207,3762,4445
1,0.01,10267,8673,1594
1,0.01,2344,192,2152
1,0.01,9723,1066,8657
1,0.01,7216,3140,4076
1,0.01,10187,5307,4880
1,0.01,3201,2064,1137
1,0.01,7117,2417,4700
1,0.01,3009,1973,1036
1,0.01,17765,9972,7793
1,0.01,8329,7570,759
1,0.01,8825,3627,5198
1,0.01,6278,4424,1854
1,0.01,7367,4051,3316
1,0.01,6285,3514,2771
1,0.01,10036,3526,6510
1,0.01,11788,4223,7565
1,0.01,3021,1113,1908
1,0.01,4340,1258,3082
1,0.01,4402,1602,2800
1,0.01,8705,3478,5227
1,0.01,5732,866,4866
1,0.01,3157,1822,1335
1,0.01,4797,2864,1933
1,0.01,5220,1640,3580
1,0.01,4941,2734,2207
1,0.01,5838,3802,2036
1,0.01,5408,3678,1730
1,0.01,2852,1012,1840
1,0.01,4809,1781,3028
1,0.01,5978,5141,837
1,0.01,9033,8182,851
1,0.01,13603,6496,7107
1,0.01,1686,589,1097
1,0.01,1434,1294,140
1,0.01,4591,1439,3152
1,0.01,13561,4126,9435
1,0.01,13480,5819,7661
1,0.01,9676,3660,6016
1,0.01,8230,2277,5953
1,0.01,11783,4376,7407
1,0.01,5659,4099,1560
1,0.01,7239,1621,5618
1,0.01,3291,1641,1650
1,0.01,7386,3980,3406
1,0.01,4949,807,4142
1,0.01,6721,2977,3744
1,0.01,7507,5620,1887
1,0.01,3104,1938,1166
1,0.01,596,370,226
1,0.01,2487,847,1640
1,0.01,7385,3363,4022
1,0.01,3064,1490,1574
1,0.01,3424,3332,92
1,0.01,8039,2943,5096
1,0.01,2200,1218,982
1,0.01,10511,4101,6410
1,0.01,4013,2478,1535
1,0.01,1926,169,1757
1,0.01,7859,2011,5848
1,0.01,9976,7098,2878
1,0.01,2597,577,2020
1,0.01,4251,2786,1465
1,0.01,5509,2511,2998
1,0.01,4706,2068,2638
1,0.01,7575,1974,5601
1,0.01,7021,3990,3031
1,0.01,7546,3747,3799
1,0.01,3558,1695,1863
1,0.01,7612,4317,3295
1,0.01,9626,4376,5250
1,0.01,1147,596,551
1,0.01,3540,2217,1323
1,0.01,3784,2264,1520
1,0.01,1089,644,445
1,0.01,3012,1763,1249
1,0.01,3890,588,3302
1,0.01,4950,1712,3238
1,0.01,4344,1220,3124
1,0.01,3394,1551,1843
1,0.01,6090,1306,4784
1,0.01,10460,6356,4104
1,0.01,3709,1985,1724
1,0.01,9324,4607,4717
1,0.01,6975,2484,4491
1,0.01,9024,3659,5365
1,0.01,8614,6311,2303
1,0.01,4015,3378,637
1,0.01,8277,6240,2037
1,0.01,9637,4705,4932
1,0.01,5768,1032,4736
1,0.01,2277,1426,851
1,0.01,1048,610,438
1,0.01,7792,5018,2774
1,0.01,5313,2824,2489
1,0.01,10708,2581,8127
1,0.01,7827,1671,6156
1,0.01,10727,4741,5986
1,0.01,14520,4220,10300
1,0.01,5288,2748,2540
1,0.01,3707,1901,1806
1,0.01,4608,2765,1843
1,0.01,5893,3570,2323
1,0.01,8681,3795,4886
1,0.01,8989,6846,2143
1,0.01,8475,3634,4841
1,0.01,6338,4880,1458
1,0.01,15385,6631,8754
1,0.01,3082,642,2440
1,0.01,5814,4218,1596
1,0.01,5648,2450,3198
1,0.01,7718,3655,4063
1,0.01,6066,823,5243
1,0.01,7783,6190,1593
1,0.01,1735,880,855
1,0.01,1627,717,910
1,0.01,2477,631,1846
1,0.01,4050,1147,2903
1,0.01,4518,2475,2043
1,0.01,3482,1931,1551
1,0.01,2193,1646,547
1,0.01,8032,2938,5094
1,0.01,4186,2998,1188
1,0.01,5559,3104,2455
1,0.01,9906,2455,7451
1,0.01,6118,2018,4100
1,0.01,4118,2936,1182
1,0.01,6030,865,5165
1,0.01,15671,5112,10559
1,0.01,1857,798,1059
1,0.01,7623,4386,3237
1,0.01,14406,7149,7257
1,0.01,3895,1940,1955
1,0.01,4193,2457,1736
1,0.01,6911,4387,2524
1,0.01,3993,1841,2152
1,0.01,2749,1423,1326
1,0.01,4817,3752,1065
1,0.01,13155,4340,8815
1,0.01,14627,8295,6332
1,0.01,4884,2535,2349
1,0.01,2787,2095,692
1,0.01,16520,3273,13247
1,0.01,8690,2966,5724
1,0.01,4697,3850,847
1,0.01,4539,3319,1220
1,0.01,6639,2840,3799
1,0.01,3683,2489,1194
1,0.01,5216,1638,3578
1,0.01,4665,2793,1872
1,0.01,10750,8180,2570
1,0.01,13749,3106,10643
1,0.01,4806,2399,2407
1,0.01,5569,1564,4005
1,0.01,3809,1847,1962
1,0.01,3206,648,2558
1,0.01,3786,2144,1642
1,0.01,8357,6259,2098
1,0.01,7235,4542,2693
1,0.01,3985,1742,2243
1,0.01,5171,4004,1167
1,0.01,2474,1409,1065
1,0.01,7308,4516,2792
1,0.01,4646,2266,2380
1,0.01,8238,3563,4675
1,0.01,5658,3145,2513
1,0.01,13468,6266,7202
1,0.01,3929,1541,2388
1,0.01,1342,883,459
1,0.01,3831,2116,1715
1,0.01,7094,5129,1965
1,0.01,10283,3725,6558
1,0.01,2301,1137,1164
1,0.01,5155,3125,2030
1,0.01,8762,6859,1903
1,0.01,6278,1899,4379
1,0.01,11895,5166,6729
1,0.01,11810,2217,9593
1,0.01,8704,4655,4049
1,0.01,8930,2601,6329
1,0.01,5126,2646,2480
1,0.01,2063,291,1772
1,0.01,15594,8259,7335
1,0.01,10257,6935,3322
1,0.01,10114,5774,4340
1,0.01,4262,1744,2518
1,0.01,1819,1302,517
1,0.01,6319,2827,3492
1,0.01,4233,2972,1261
1,0.01,7069,2601,4468
1,0.01,6657,4529,2128
1,0.01,4379,2103,2276
1,0.01,3968,2456,1512
1,0.01,2211,888,1323
1,0.01,7501,5019,2482
1,0.01,8099,3073,5026
1,0.01,5566,5066,500
1,0.01,7937,5256,2681
1,0.01,8270,1508,6762
1,0.01,5381,3948,1433
1,0.01,1424,767,657
1,0.01,1127,169,958
1,0.01,4801,2663,2138
1,0.01,11191,6471,4720
1,0.01,1051,451,600
1,0.01,6262,4009,2253
1,0.01,7298,5020,2278
1,0.01,5272,4111,1161
1,0.01,3819,2415,1404
1,0.01,10148,7331,2817
1,0.01,11448,6078,5370
1,0.01,4518,1087,3431
1,0.01,6198,1990,4208
1,0.01,3700,774,2926
1,0.01,8478,7711,767
1,0.01,6784,3458,3326
1,0.01,4047,2411,1636
1,0.01,4757,4035,722
1,0.01,10879,6938,3941
1,0.01,2687,1075,1612
1,0.01,10897,2580,8317
1,0.01,7166,2041,5125
1,0.01,4981,943,4038
1,0.01,5130,2178,2952
1,0.01,12112,4330,7782
1,0.01,3567,2298,1269
1,0.01,4379,2043,2336
1,0.01,2372,1011,1361
1,0.01,5104,4145,959
1,0.01,6056,5104,952
1,0.01,8253,3196,5057
1,0.01,12312,10022,2290
1,0.01,9895,6245,3650
1,0.01,7300,4068,3232
1,0.01,10980,8378,2602
1,0.01,2861,1135,1726
1,0.01,10248,5191,5057
1,0.01,14401,6006,8395
1,0.01,3245,1465,1780
1,0.01,5662,2867,2795
1,0.01,4785,2868,1917
1,0.01,1494,603,891
1,0.01,6087,1135,4952
1,0.01,10282,3844,6438
1,0.01,13991,10973,3018
1,0.01,6061,4332,1729
1,0.01,18828,12033,6795
1,0.01,12953,3087,9866
1,0.01,1504,760,744
1,0.01,7579,7269,310
1,0.01,6439,1952,4487
1,0.01,4365,3456,909
1,0.01,8426,2832,5594
1,0.01,11612,8331,3281
1,0.01,7077,5010,2067
1,0.01,3755,1728,2027
1,0.01,7779,5528,2251
1,0.01,8209,2070,6139
1,0.01,4822,2167,2655
1,0.01,5219,4105,1114
1,0.01,1654,685,969
1,0.01,5038,4766,272
1,0.01,4660,3804,856
1,0.01,9739,2154,7585
1,0.01,4716,2763,1953
1,0.01,5398,2316,3082
1,0.01,6973,1910,5063
1,0.01,811,706,105
1,0.01,4282,3326,956
1,0.01,4951,3454,1497
1,0.01,2152,1627,525
1,0.01,6184,3554,2630
1,0.01,10358,3327,7031
1,0.01,2903,1932,971
1,0.01,2227,1491,736
1,0.01,10339,4967,5372
1,0.01,6057,4348,1709
1,0.01,8371,4129,4242
1,0.01,4754,3534,1220
1,0.01,10286,5226,5060
1,0.01,8155,3379,4776
1,0.01,6080,4171,1909
1,0.01,3485,2601,884
1,0.01,6515,4307,2208
1,0.01,6714,3643,3071
1,0.01,2240,694,1546
1,0.01,6175,3775,2400
1,0.01,10526,4055,6471
1,0.01,2598,1627,971
1,0.01,4453,2325,2128
1,0.01,4426,1427,2999
1,0.01,2763,1242,1521
1,0.01,4167,1375,2792
1,0.01,4171,2328,1843
1,0.01,1566,1422,144
1,0.01,7660,5222,2438
1,0.01,7088,3642,3446
1,0.01,10773,2045,8728
1,0.01,11130,5099,6031
1,0.01,2995,451,2544
1,0.01,5722,3092,2630
1,0.01,2743,1608,1135
1,0.01,5193,2799,2394
1,0.01,4885,1987,2898
1,0.01,6963,6439,524
1,0.01,9053,7114,1939
1,0.01,4848,832,4016
1,0.01,7262,4367,2895
1,0.01,10692,3530,7162
1,0.01,2920,2474,446
1,0.01,1310,552,758
1,0.01,10030,2719,7311
1,0.01,6659,3381,3278
1,0.01,3460,1976,1484
1,0.01,4407,3267,1140
1,0.01,4924,1041,3883
1,0.01,6288,3168,3120
1,0.01,9484,8039,1445
1,0.01,5224,1426,3798
1,0.01,2213,407,1806
1,0.01,9538,6144,3394
1,0.01,6001,1226,4775
1,0.01,802,577,225
1,0.01,3899,3125,774
1,0.01,3289,609,2680
1,0.01,9307,7419,1888
1,0.01,3238,1071,2167
1,0.01,6086,1988,4098
1,0.01,3331,1728,1603
1,0.01,4956,2973,1983
1,0.01,4030,1033,2997
1,0.01,5547,2815,2732
1,0.01,6773,3403,3370
1,0.01,2061,356,1705
1,0.01,5581,1724,3857
1,0.01,6310,3076,3234
