x,y,count,red,blue
1,0.01,7595,438,7157
1,0.01,9037,7320,1717
1,0.01,3644,2223,1421
1,0.01,2023,1415,608
1,0.01,15754,7376,8378
1,0.01,10037,4268,5769
1,0.01,8733,6305,2428
1,0.01,4701,1869,2832
1,0.01,3381,3226,155
1,0.01,12390,10186,2204
1,0.01,7912,5811,2101
1,0.01,6625,1432,5193
1,0.01,10846,7145,3701
1,0.01,10543,7221,3322
1,0.01,3581,1035,2546
1,0.01,8589,2161,6428
1,0.01,1655,214,1441
1,0.01,11576,4998,6578
1,0.01,2614,288,2326
1,0.01,6934,2055,4879
1,0.01,9438,5267,4171
1,0.01,4660,3230,1430
1,0.01,3390,2863,527
1,0.01,1993,565,1428
1,0.01,7693,4581,3112
1,0.01,3475,2175,1300
1,0.01,292,60,232
1,0.01,7335,4432,2903
1,0.01,5495,839,4656
1,0.01,7348,3928,3420
1,0.01,3337,2814,523
1,0.01,6727,3333,3394
1,0.01,10455,3425,7030
1,0.01,5096,3655,1441
1,0.01,15556,3756,11800
1,0.01,6190,2180,4010
1,0.01,11333,6117,5216
1,0.01,8172,4688,3484
1,0.01,5983,2765,3218
1,0.01,4735,3900,835
1,0.01,2501,1226,1275
1,0.01,4191,1979,2212
1,0.01,10711,7046,3665
1,0.01,5606,2582,3024
1,0.01,7226,4257,2969
1,0.01,4319,4000,319
1,0.01,12619,8331,4288
1,0.01,4954,1406,3548
1,0.01,6266,2146,4120
1,0.01,2265,1093,1172
1,0.01,11700,4523,7177
1,0.01,10155,3957,6198
1,0.01,4234,1097,3137
1,0.01,8015,5025,2990
